ts_event,open,high,low,close,volume,volume_A,volume_B,volume_N
2024-03-18 00:00:00-04:00,5193.75,5194.0,5193.25,5193.75,198,117,81,0
2024-03-18 00:05:00-04:00,5194.0,5194.5,5193.75,5194.5,403,115,288,0
2024-03-18 00:10:00-04:00,5194.5,5195.5,5194.25,5195.5,500,203,297,0
2024-03-18 00:15:00-04:00,5195.5,5195.75,5194.75,5195.0,217,114,103,0
2024-03-18 00:20:00-04:00,5195.0,5195.25,5194.5,5195.0,353,199,154,0
2024-03-18 00:25:00-04:00,5195.0,5195.25,5194.75,5195.0,204,152,52,0
2024-03-18 00:30:00-04:00,5195.0,5196.25,5195.0,5195.75,461,178,283,0
2024-03-18 00:35:00-04:00,5195.75,5196.25,5195.5,5195.75,183,109,74,0
2024-03-18 00:40:00-04:00,5195.75,5196.5,5195.75,5196.0,245,125,120,0
2024-03-18 00:45:00-04:00,5196.0,5196.25,5195.25,5195.25,340,233,107,0
2024-03-18 00:50:00-04:00,5195.25,5196.0,5195.25,5195.5,312,182,130,0
2024-03-18 00:55:00-04:00,5195.5,5195.75,5195.5,5195.5,111,81,30,0
2024-03-18 01:00:00-04:00,5195.75,5196.0,5195.25,5195.75,273,153,120,0
2024-03-18 01:05:00-04:00,5196.0,5196.75,5195.75,5196.0,416,119,297,0
2024-03-18 01:10:00-04:00,5196.25,5196.5,5195.75,5196.25,235,132,103,0
2024-03-18 01:15:00-04:00,5196.25,5196.75,5195.75,5195.75,268,181,87,0
2024-03-18 01:20:00-04:00,5196.0,5196.25,5195.25,5196.0,423,271,152,0
2024-03-18 01:25:00-04:00,5196.0,5197.0,5195.75,5197.0,440,198,242,0
2024-03-18 01:30:00-04:00,5196.75,5197.5,5196.75,5197.0,512,248,264,0
2024-03-18 01:35:00-04:00,5197.0,5197.25,5196.75,5197.25,333,199,134,0
2024-03-18 01:40:00-04:00,5197.5,5198.0,5197.0,5197.25,502,242,260,0
2024-03-18 01:45:00-04:00,5197.25,5198.0,5197.25,5197.75,238,120,118,0
2024-03-18 01:50:00-04:00,5198.0,5198.0,5197.75,5198.0,146,75,71,0
2024-03-18 01:55:00-04:00,5198.0,5198.25,5197.5,5197.5,310,202,108,0
2024-03-18 02:00:00-04:00,5197.75,5198.25,5197.25,5198.0,512,232,280,0
2024-03-18 02:05:00-04:00,5198.0,5199.25,5198.0,5199.0,575,233,342,0
2024-03-18 02:10:00-04:00,5199.0,5199.25,5198.5,5199.0,285,153,132,0
2024-03-18 02:15:00-04:00,5199.0,5199.25,5198.0,5198.0,371,214,157,0
2024-03-18 02:20:00-04:00,5198.25,5199.0,5197.75,5197.75,408,212,196,0
2024-03-18 02:25:00-04:00,5198.0,5198.0,5197.0,5197.25,401,254,147,0
2024-03-18 02:30:00-04:00,5197.25,5198.25,5197.25,5198.0,293,144,149,0
2024-03-18 02:35:00-04:00,5198.0,5198.25,5197.25,5197.25,284,202,82,0
2024-03-18 02:40:00-04:00,5197.25,5197.75,5197.0,5197.5,264,119,145,0
2024-03-18 02:45:00-04:00,5197.5,5198.75,5197.25,5198.5,271,114,157,0
2024-03-18 02:50:00-04:00,5198.5,5198.75,5197.25,5197.5,234,157,77,0
2024-03-18 02:55:00-04:00,5197.5,5197.75,5197.0,5197.25,272,149,123,0
2024-03-18 03:00:00-04:00,5197.25,5198.25,5196.75,5198.0,987,440,547,0
2024-03-18 03:05:00-04:00,5198.25,5198.25,5196.0,5196.5,623,347,276,0
2024-03-18 03:10:00-04:00,5196.5,5197.0,5196.0,5196.5,473,260,213,0
2024-03-18 03:15:00-04:00,5196.75,5197.25,5195.75,5196.0,499,294,205,0
